Harga,title,Kecamatan,Kota,lat,long,Tipe Properti,K. Tidur,K. Mandi,Luas Tanah,Luas Bangunan,Carport,Listrik,K. Tidur Pembantu,K. Mandi Pembantu,Lantai,Kondisi,Garasi,furnishing,TahunRumah,kategori_harga
350000000.0,Rumah Siap Huni Strategis di Setu Bekasi,Setu, Bekasi,-6.358777,107.0348331,rumah,2.0,1.0,60.0,38.0,1.0,1300.0,0.0,1.0,1.0,baru,0.0,unfurnished,0.0,harga sangat rendah
351000000.0,Rumah Baru Siap Huni 1 lantai di dekat Terminal Cileungsi Bogor,Setu, Bekasi,-6.358777,107.0348331,rumah,2.0,1.0,60.0,38.0,1.0,1300.0,0.0,0.0,1.0,baru,0.0,unfurnished,2.0,harga sangat rendah
393000000.0,Cluster Exclusive dengan Smart Home System,Setu, Bekasi,-6.358777,107.0348331,rumah,2.0,1.0,60.0,36.0,1.0,1300.0,0.0,0.0,1.0,bagus,0.0,unfurnished,0.0,harga sangat rendah
392000000.0,Cluster siap huni minimalis modern,Setu, Bekasi,-6.358777,107.0348331,rumah,2.0,1.0,72.0,36.0,1.0,1300.0,0.0,0.0,1.0,baru,0.0,unfurnished,1.0,harga sangat rendah
440000000.0,Rumah Kondisi Baru Dikomplek Cluster Tengah Kota Bekasi Tepatnya Dicimuning Bekasi Timur Rumah Idaman Dibekasi Ini Harga Murah Dgn Kualitas Bagus,Setu, Bekasi,-6.358777,107.0348331,rumah,2.0,1.0,66.0,36.0,1.0,1300.0,0.0,0.0,1.0,baru,1.0,semi furnished,1.0,harga sangat rendah
351000000.0,Rumah Baru 1 Lantai Kawasan Cileungsi dekat Obyek wisata Mekarsari Jawa Barat,Setu, Bekasi,-6.358777,107.0348331,rumah,2.0,1.0,60.0,38.0,1.0,1300.0,0.0,0.0,1.0,baru,0.0,unfurnished,2.0,harga sangat rendah
401000000.0,Rumah Cluster One Gate Sistem Minimalis Cibening Setu Bekasi,Setu, Bekasi,-6.358777,107.0348331,rumah,2.0,1.0,66.0,38.0,1.0,1300.0,0.0,0.0,1.0,baru,0.0,semi furnished,0.0,harga sangat rendah
1990000000.0,"Asera One Harapan Indah termurah
Beli harga tanah bonus bangunan",Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,4.0,4.0,160.0,216.0,0.0,4400.0,1.0,0.0,2.0,bagus,0.0,unfurnished,5.0,harga tinggi
1150000000.0,cepat rumah termurah siap huni di ifolia harapan indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,3.0,2.0,126.0,126.0,1.0,2200.0,1.0,1.0,2.0,bagus sekali,0.0,unfurnished,7.0,harga rendah
3200000000.0,cepat rumah hook mewah  termurah di bulevar hijau harapan indah Bekasi,Harapan Indah, Bekasi,-6.1817523,106.9736839,rumah,5.0,4.0,376.0,700.0,2.0,3300.0,1.0,1.0,2.0,bagus,2.0,furnished,7.0,harga tinggi
